go	di
dog	cho
hello	xin chao
hi	xin chao (than mat)
country	dat nuoc
go ahead	tien len phia truoc
home	ngoi nha
eat	an
weak 	(adj) yeu
strong	manh khoe
walk	(v) di bo
bye	(v) tam biet
see you later	hen gap lai sau
want	(v) mong muon
talk about	noi ve cai gi
any time	co 1 it thoi gian
moment	(adv) khoanh khac
computer	(n) may tinh
street	(n) con duong
pan	(n) cai chao
one	mot
second	thu hai
elevator	(n) thang may
student	(n) hoc sinh
balo	cap sach
run	chay
approximately	xap xi
army hero	anh hung quan doi
arms	binh khi
arts and crafts		bach nghe
bag	bao tai
bacon	ba chi
ball	qua bong
